id,team,hit,opponent,year,score_team,score_opponent
ANA201304090,OAK,12,ANA,2012,9,5
ANA201304090,ANA,13,OAK,2012,5,9
ANA201304100,OAK,16,ANA,2012,11,5
ANA201304100,ANA,14,OAK,2012,5,11
ANA201304110,OAK,16,ANA,2012,8,1
ANA201304110,ANA,5,OAK,2012,1,8
ANA201304120,HOU,10,ANA,2012,5,0
ANA201304120,ANA,4,HOU,2012,0,5
ANA201304130,HOU,4,ANA,2012,4,3
ANA201304130,ANA,13,HOU,2012,3,4
ANA201304140,HOU,7,ANA,2012,1,4
ANA201304140,ANA,9,HOU,2012,4,1
ANA201304190,DET,10,ANA,2012,1,8
ANA201304190,ANA,16,DET,2012,8,0
ANA201304200,DET,4,ANA,2012,0,10
ANA201304200,ANA,14,DET,2012,10,0
ANA201304210,DET,10,ANA,2012,3,3
ANA201304210,ANA,7,DET,2012,3,3
ANA201304220,TEX,15,ANA,2012,7,6
ANA201304220,ANA,9,TEX,2012,6,7
ANA201304230,TEX,8,ANA,2012,4,4
ANA201304230,ANA,10,TEX,2012,4,4
ANA201304240,TEX,11,ANA,2012,11,3
ANA201304240,ANA,9,TEX,2012,3,11
ANA201305020,BAL,10,ANA,2012,5,0
ANA201305020,ANA,4,BAL,2012,1,5
ANA201305030,BAL,3,ANA,2012,0,4
ANA201305030,ANA,8,BAL,2012,4,0
ANA201305040,BAL,12,ANA,2012,5,4
ANA201305040,ANA,6,BAL,2012,4,5
ANA201305050,BAL,8,ANA,2012,8,4
ANA201305050,ANA,11,BAL,2012,4,8
ANA201305130,KCA,19,ANA,2012,11,4
ANA201305130,ANA,9,KCA,2012,4,11
ANA201305140,KCA,6,ANA,2012,2,6
ANA201305140,ANA,12,KCA,2012,6,2
ANA201305150,KCA,13,ANA,2012,9,5
ANA201305150,ANA,12,KCA,2012,5,9
ANA201305160,CHA,9,ANA,2012,5,4
ANA201305160,ANA,7,CHA,2012,4,5
ANA201305170,CHA,8,ANA,2012,3,0
ANA201305170,ANA,3,CHA,2012,0,3
ANA201305180,CHA,17,ANA,2012,9,12
ANA201305180,ANA,12,CHA,2012,12,9
ANA201305190,CHA,5,ANA,2012,2,6
ANA201305190,ANA,7,CHA,2012,6,1
ANA201305210,SEA,6,ANA,2012,0,12
ANA201305210,ANA,15,SEA,2012,12,0
ANA201305220,SEA,7,ANA,2012,1,7
ANA201305220,ANA,12,SEA,2012,7,1
ANA201305290,LAN,7,ANA,2012,3,4
ANA201305290,ANA,8,LAN,2012,4,1
ANA201305300,LAN,6,ANA,2012,2,3
ANA201305300,ANA,9,LAN,2012,3,2
ANA201305310,HOU,11,ANA,2012,6,3
ANA201305310,ANA,7,HOU,2012,3,6
ANA201306010,HOU,5,ANA,2012,2,0
ANA201306010,ANA,7,HOU,2012,0,2
ANA201306020,HOU,9,ANA,2012,5,2
ANA201306020,ANA,8,HOU,2012,4,5
ANA201306030,HOU,3,ANA,2012,2,1
ANA201306030,ANA,7,HOU,2012,1,2
ANA201306040,CHN,8,ANA,2012,3,4
ANA201306040,ANA,8,CHN,2012,4,3
ANA201306050,CHN,15,ANA,2012,8,5
ANA201306050,ANA,10,CHN,2012,6,8
ANA201306140,NYA,6,ANA,2012,2,5
ANA201306140,ANA,13,NYA,2012,5,2
ANA201306150,NYA,5,ANA,2012,2,6
ANA201306150,ANA,12,NYA,2012,6,2
ANA201306160,NYA,9,ANA,2012,6,0
ANA201306160,ANA,9,NYA,2012,5,6
ANA201306170,SEA,7,ANA,2012,3,11
ANA201306170,ANA,20,SEA,2012,11,3
ANA201306180,SEA,8,ANA,2012,3,2
ANA201306180,ANA,8,SEA,2012,2,3
ANA201306190,SEA,2,ANA,2012,0,1
ANA201306190,ANA,6,SEA,2012,1,0
ANA201306200,SEA,12,ANA,2012,9,10
ANA201306200,ANA,17,SEA,2012,10,9
ANA201306210,PIT,11,ANA,2012,5,2
ANA201306210,ANA,4,PIT,2012,2,5
ANA201306220,PIT,10,ANA,2012,6,1
ANA201306220,ANA,8,PIT,2012,1,6
ANA201306230,PIT,13,ANA,2012,10,6
ANA201306230,ANA,9,PIT,2012,9,10
ANA201307020,SLN,9,ANA,2012,1,5
ANA201307020,ANA,9,SLN,2012,5,1
ANA201307030,SLN,13,ANA,2012,12,2
ANA201307030,ANA,6,SLN,2012,2,12
ANA201307040,SLN,10,ANA,2012,5,3
ANA201307040,ANA,11,SLN,2012,5,5
ANA201307050,BOS,13,ANA,2012,6,2
ANA201307050,ANA,6,BOS,2012,2,6
ANA201307060,BOS,12,ANA,2012,7,7
ANA201307060,ANA,17,BOS,2012,7,7
ANA201307070,BOS,5,ANA,2012,0,3
ANA201307070,ANA,7,BOS,2012,3,0
ANA201307190,OAK,7,ANA,2012,1,4
ANA201307190,ANA,8,OAK,2012,4,0
ANA201307200,OAK,3,ANA,2012,0,2
ANA201307200,ANA,8,OAK,2012,2,0
ANA201307210,OAK,9,ANA,2012,6,0
ANA201307210,ANA,4,OAK,2012,0,6
ANA201307220,MIN,12,ANA,2012,4,3
ANA201307220,ANA,9,MIN,2012,3,4
ANA201307230,MIN,15,ANA,2012,10,3
ANA201307230,ANA,10,MIN,2012,3,10
ANA201307240,MIN,2,ANA,2012,0,1
ANA201307240,ANA,7,MIN,2012,1,0
ANA201308010,TOR,6,ANA,2012,2,8
ANA201308010,ANA,12,TOR,2012,8,2
ANA201308020,TOR,8,ANA,2012,5,7
ANA201308020,ANA,14,TOR,2012,7,5
ANA201308030,TOR,8,ANA,2012,3,7
ANA201308030,ANA,10,TOR,2012,7,3
ANA201308040,TOR,12,ANA,2012,6,5
ANA201308040,ANA,9,TOR,2012,5,6
ANA201308050,TEX,7,ANA,2012,5,2
ANA201308050,ANA,6,TEX,2012,2,5
ANA201308060,TEX,12,ANA,2012,8,3
ANA201308060,ANA,9,TEX,2012,3,8
ANA201308070,TEX,16,ANA,2012,10,3
ANA201308070,ANA,7,TEX,2012,3,10
ANA201308160,HOU,13,ANA,2012,8,2
ANA201308160,ANA,6,HOU,2012,2,8
ANA201308170,HOU,14,ANA,2012,5,5
ANA201308170,ANA,12,HOU,2012,5,5
ANA201308180,HOU,12,ANA,2012,7,5
ANA201308180,ANA,9,HOU,2012,5,7
ANA201308190,CLE,10,ANA,2012,5,1
ANA201308190,ANA,6,CLE,2012,2,5
ANA201308200,CLE,8,ANA,2012,4,1
ANA201308200,ANA,12,CLE,2012,1,4
ANA201308210,CLE,8,ANA,2012,3,1
ANA201308210,ANA,7,CLE,2012,1,3
ANA201309020,TBA,6,ANA,2012,2,11
ANA201309020,ANA,16,TBA,2012,11,2
ANA201309030,TBA,15,ANA,2012,7,1
ANA201309030,ANA,4,TBA,2012,1,7
ANA201309040,TBA,7,ANA,2012,3,1
ANA201309040,ANA,7,TBA,2012,1,3
ANA201309050,TBA,6,ANA,2012,2,6
ANA201309050,ANA,11,TBA,2012,6,2
ANA201309060,TEX,9,ANA,2012,5,6
ANA201309060,ANA,10,TEX,2012,6,4
ANA201309070,TEX,9,ANA,2012,3,8
