GAME_ID%0,HOME,AWAY
ANA201304090,5,9
ANA201304100,5,11
ANA201304110,1,8
ANA201304120,0,5
ANA201304130,3,4
ANA201304140,4,1
ANA201304190,8,1
ANA201304200,10,0
ANA201304210,3,3
ANA201304220,6,7
ANA201304230,4,4
ANA201304240,3,11
ARI201304010,6,2
ARI201304020,1,6
ARI201304030,9,9
ARI201304080,3,5
ARI201304090,5,6
ARI201304100,10,2
ARI201304120,3,0
ARI201304130,5,7
ARI201304140,0,0
ARI201304250,3,2
ARI201304260,3,6
ARI201304270,2,2
ARI201304280,4,2
ARI201304290,4,6
ARI201304300,1,2
ATL201304010,7,5
ATL201304030,9,2
ATL201304040,0,2
ATL201304050,4,1
ATL201304060,5,5
ATL201304070,5,1
ATL201304160,6,3
ATL201304170,0,1
ATL201304290,3,2
ATL201304300,8,1
BAL201304050,9,5
BAL201304060,5,6
BAL201304070,3,4
BAL201304160,5,4
BAL201304170,2,6
BAL201304180,6,6
BAL201304201,7,5
BAL201304202,6,1
BAL201304210,4,7
BAL201304220,1,1
BAL201304230,4,3
BAL201304240,5,6
BOS201304080,3,1
BOS201304100,5,8
BOS201304110,2,3
BOS201304130,1,1
BOS201304140,5,0
BOS201304150,2,2
BOS201304200,4,3
BOS201304211,2,4
BOS201304212,4,5
BOS201304220,9,6
BOS201304230,0,13
BOS201304240,6,5
BOS201304250,7,2
BOS201304260,7,3
BOS201304270,8,4
BOS201304280,6,1
CHA201304010,1,0
CHA201304030,5,2
CHA201304040,1,3
CHA201304050,7,8
CHA201304060,4,3
CHA201304070,3,3
CHA201304200,1,2
CHA201304210,3,5
CHA201304220,2,3
CHA201304240,3,2
CHA201304250,5,2
CHA201304260,5,4
CHA201304270,4,10
CHA201304280,3,8
CHN201304080,4,7
CHN201304090,6,3
CHN201304110,6,7
CHN201304120,3,3
CHN201304130,2,3
CHN201304140,7,10
CHN201304160,2,4
CHN201304180,6,2
CHN201304290,5,3
CHN201304300,7,13
CIN201304010,1,3
CIN201304030,4,4
CIN201304040,5,4
CIN201304050,15,0
CIN201304060,6,7
CIN201304070,6,3
CIN201304150,4,2
CIN201304160,0,0
CIN201304170,11,2
CIN201304180,11,1
CIN201304190,1,2
CIN201304200,2,2
CIN201304210,10,6
CIN201304220,4,4
CIN201304230,2,4
CIN201304240,1,0
CLE201304080,6,11
CLE201304090,1,14
CLE201304120,0,0
CLE201304130,9,4
CLE201304140,1,3
CLE201304160,2,7
CLE201304170,3,6
CLE201304180,3,6
CLE201304300,14,2
COL201304050,5,2
COL201304060,6,3
COL201304070,9,1
COL201304161,8,4
COL201304162,8,8
COL201304180,11,3
COL201304190,3,1
COL201304200,4,3
COL201304210,4,5
COL201304231,3,4
COL201304232,2,10
COL201304240,5,5
DET201304050,8,3
DET201304060,8,4
DET201304070,0,7
DET201304090,7,3
DET201304100,6,8
DET201304110,11,1
DET201304240,7,5
DET201304250,3,8
DET201304260,10,0
DET201304270,7,4
DET201304280,8,3
DET201304290,4,3
DET201304300,6,1
