id,team,game,teamhit5game,year
ANA201304090,ANA,1,49,2013
ANA201304100,ANA,2,45,2013
ANA201304110,ANA,3,47,2013
ANA201304120,ANA,4,56,2013
ANA201304130,ANA,5,59,2013
ANA201304140,ANA,6,55,2013
ANA201304190,ANA,7,56,2013
ANA201304200,ANA,8,49,2013
ANA201304210,ANA,9,39,2013
ANA201304220,ANA,10,40,2013
ANA201304230,ANA,11,37,2013
ANA201304240,ANA,12,38,2013
ANA201305020,ANA,13,38,2013
ANA201305030,ANA,14,46,2013
ANA201305040,ANA,15,50,2013
ANA201305050,ANA,16,51,2013
ANA201305130,ANA,17,43,2013
ANA201305140,ANA,18,46,2013
ANA201305150,ANA,19,41,2013
ANA201305160,ANA,20,44,2013
ANA201305170,ANA,21,49,2013
ANA201305180,ANA,22,54,2013
ANA201305190,ANA,23,51,2013
ANA201305210,ANA,24,51,2013
ANA201305220,ANA,25,43,2013
ANA201305290,ANA,26,39,2013
ANA201305300,ANA,27,38,2013
ANA201305310,ANA,28,37,2013
ANA201306010,ANA,29,40,2013
ANA201306020,ANA,30,46,2013
ANA201306030,ANA,31,50,2013
ANA201306040,ANA,32,52,2013
ANA201306050,ANA,33,64,2013
ANA201306140,ANA,34,62,2013
ANA201306150,ANA,35,55,2013
ANA201306160,ANA,36,60,2013
ANA201306170,ANA,37,55,2013
ANA201306180,ANA,38,43,2013
ANA201306190,ANA,39,44,2013
ANA201306200,ANA,40,47,2013
ANA201306210,ANA,41,36,2013
ANA201306220,ANA,42,43,2013
ANA201306230,ANA,43,41,2013
ANA201307020,ANA,44,49,2013
ANA201307030,ANA,45,47,2013
ANA201307040,ANA,46,49,2013
ANA201307050,ANA,47,46,2013
ANA201307060,ANA,48,44,2013
ANA201307070,ANA,49,36,2013
ANA201307190,ANA,50,39,2013
ANA201307200,ANA,51,38,2013
ANA201307210,ANA,52,42,2013
ANA201307220,ANA,53,52,2013
ANA201307230,ANA,54,53,2013
ANA201307240,ANA,55,52,2013
ANA201308010,ANA,56,51,2013
ANA201308020,ANA,57,48,2013
ANA201308030,ANA,58,41,2013
ANA201308040,ANA,59,37,2013
ANA201308050,ANA,60,40,2013
ANA201308060,ANA,61,43,2013
ANA201308070,ANA,62,40,2013
ANA201308160,ANA,63,45,2013
ANA201308170,ANA,64,46,2013
ANA201308180,ANA,65,50,2013
