INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -4 1 3 2 1984
1 0 0 0 -3 0 1 1 1984
1 0 0 0 -2 1 11 10 1984
1 0 0 0 -1 8 19 11 1984
1 0 0 0 0 911 2106 1195 1984
1 0 0 1 -3 0 1 1 1984
1 0 0 1 -2 2 9 7 1984
1 0 0 1 -1 9 19 10 1984
1 0 0 1 0 217 565 348 1984
1 0 0 10 -5 0 1 1 1984
1 0 0 10 -3 0 1 1 1984
1 0 0 10 -2 2 4 2 1984
1 0 0 10 -1 6 21 15 1984
1 0 0 10 0 60 190 130 1984
1 0 0 11 -2 1 7 6 1984
1 0 0 11 -1 4 17 13 1984
1 0 0 11 0 27 94 67 1984
1 0 0 100 -2 3 3 0 1984
1 0 0 100 -1 1 8 7 1984
1 0 0 100 0 16 35 19 1984
1 0 0 101 -5 0 1 1 1984
1 0 0 101 -4 0 1 1 1984
1 0 0 101 -2 1 3 2 1984
1 0 0 101 -1 3 11 8 1984
1 0 0 101 0 11 53 42 1984
1 0 0 110 -3 0 1 1 1984
1 0 0 110 -2 1 3 2 1984
1 0 0 110 -1 2 11 9 1984
1 0 0 110 0 5 27 22 1984
1 0 0 111 -3 0 1 1 1984
1 0 0 111 -2 0 3 3 1984
1 0 0 111 -1 3 7 4 1984
1 0 0 111 0 2 14 12 1984
1 0 1 0 -6 0 1 1 1984
1 0 1 0 -4 1 9 8 1984
1 0 1 0 -3 3 13 10 1984
1 0 1 0 -2 5 29 24 1984
1 0 1 0 -1 28 55 27 1984
1 0 1 0 0 679 1473 794 1984
1 0 1 1 -5 0 1 1 1984
1 0 1 1 -4 0 4 4 1984
1 0 1 1 -3 1 7 6 1984
1 0 1 1 -2 8 20 12 1984
1 0 1 1 -1 28 79 51 1984
1 0 1 1 0 237 542 305 1984
1 0 1 10 -8 0 1 1 1984
1 0 1 10 -4 1 4 3 1984
1 0 1 10 -3 1 9 8 1984
1 0 1 10 -2 5 18 13 1984
1 0 1 10 -1 10 46 36 1984
1 0 1 10 0 95 218 123 1984
1 0 1 11 -5 0 5 5 1984
1 0 1 11 -4 0 3 3 1984
1 0 1 11 -3 0 6 6 1984
