INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 0 1 1 2007
1 0 0 0 -4 0 5 5 2007
1 0 0 0 -3 1 7 6 2007
1 0 0 0 -2 5 13 8 2007
1 0 0 0 -1 27 59 32 2007
1 0 0 0 0 1306 2430 1124 2007
1 0 0 0 2 0 1 1 2007
1 0 0 1 -5 0 1 1 2007
1 0 0 1 -4 0 1 1 2007
1 0 0 1 -3 1 5 4 2007
1 0 0 1 -2 3 4 1 2007
1 0 0 1 -1 14 35 21 2007
1 0 0 1 0 306 598 292 2007
1 0 0 1 2 0 1 1 2007
1 0 0 10 -3 1 5 4 2007
1 0 0 10 -2 3 13 10 2007
1 0 0 10 -1 6 25 19 2007
1 0 0 10 0 93 211 118 2007
1 0 0 11 -5 0 1 1 2007
1 0 0 11 -4 0 1 1 2007
1 0 0 11 -3 0 3 3 2007
1 0 0 11 -2 2 8 6 2007
1 0 0 11 -1 5 23 18 2007
1 0 0 11 0 56 138 82 2007
1 0 0 100 -1 3 6 3 2007
1 0 0 100 0 18 45 27 2007
1 0 0 101 -3 0 3 3 2007
1 0 0 101 -2 1 2 1 2007
1 0 0 101 -1 3 13 10 2007
1 0 0 101 0 24 60 36 2007
1 0 0 110 -3 0 2 2 2007
1 0 0 110 -2 0 4 4 2007
1 0 0 110 -1 3 9 6 2007
1 0 0 110 0 7 23 16 2007
1 0 0 111 -3 0 1 1 2007
1 0 0 111 -2 2 6 4 2007
1 0 0 111 -1 3 11 8 2007
1 0 0 111 0 14 37 23 2007
1 0 1 0 -6 0 1 1 2007
1 0 1 0 -5 0 2 2 2007
1 0 1 0 -4 2 10 8 2007
1 0 1 0 -3 7 22 15 2007
1 0 1 0 -2 9 31 22 2007
1 0 1 0 -1 42 86 44 2007
1 0 1 0 0 931 1653 722 2007
1 0 1 1 -6 0 1 1 2007
1 0 1 1 -5 0 2 2 2007
1 0 1 1 -4 0 7 7 2007
1 0 1 1 -3 3 10 7 2007
1 0 1 1 -2 18 25 7 2007
1 0 1 1 -1 48 83 35 2007
1 0 1 1 0 343 609 266 2007
1 0 1 1 2 0 1 1 2007
1 0 1 10 -6 0 1 1 2007
1 0 1 10 -5 0 1 1 2007
1 0 1 10 -4 1 4 3 2007
1 0 1 10 -3 3 13 10 2007
1 0 1 10 -2 6 28 22 2007
1 0 1 10 -1 26 56 30 2007
1 0 1 10 0 145 269 124 2007
1 0 1 11 -5 1 2 1 2007
1 0 1 11 -4 0 7 7 2007
1 0 1 11 -3 1 10 9 2007
1 0 1 11 -2 6 16 10 2007
1 0 1 11 -1 30 64 34 2007
1 0 1 11 0 96 186 90 2007
1 0 1 100 -5 0 1 1 2007
1 0 1 100 -4 0 2 2 2007
1 0 1 100 -3 0 3 3 2007
1 0 1 100 -2 2 10 8 2007
1 0 1 100 -1 10 27 17 2007
1 0 1 100 0 47 116 69 2007
1 0 1 101 -6 0 1 1 2007
1 0 1 101 -4 1 4 3 2007
1 0 1 101 -3 0 3 3 2007
1 0 1 101 -2 6 17 11 2007
1 0 1 101 -1 6 24 18 2007
1 0 1 101 0 43 93 50 2007
1 0 1 101 2 0 1 1 2007
1 0 1 110 -4 0 3 3 2007
1 0 1 110 -3 1 4 3 2007
1 0 1 110 -2 4 9 5 2007
1 0 1 110 -1 6 16 10 2007
1 0 1 110 0 19 41 22 2007
1 0 1 111 -5 0 1 1 2007
1 0 1 111 -4 0 4 4 2007
1 0 1 111 -3 2 3 1 2007
1 0 1 111 -2 6 15 9 2007
1 0 1 111 -1 14 30 16 2007
1 0 1 111 0 23 49 26 2007
1 0 2 0 -11 0 1 1 2007
1 0 2 0 -9 0 1 1 2007
1 0 2 0 -6 0 1 1 2007
1 0 2 0 -5 1 8 7 2007
1 0 2 0 -4 3 15 12 2007
1 0 2 0 -3 9 28 19 2007
1 0 2 0 -2 24 67 43 2007
1 0 2 0 -1 63 146 83 2007
1 0 2 0 0 666 1162 496 2007
1 0 2 1 -11 0 1 1 2007
1 0 2 1 -9 0 1 1 2007
1 0 2 1 -5 1 3 2 2007
1 0 2 1 -4 4 15 11 2007
1 0 2 1 -3 5 14 9 2007
1 0 2 1 -2 23 50 27 2007
1 0 2 1 -1 60 131 71 2007
