INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -3 0 2 2 1944
1 0 0 0 -2 1 2 1 1944
1 0 0 0 -1 1 4 3 1944
1 0 0 0 0 182 408 226 1944
1 0 0 1 -2 1 2 1 1944
1 0 0 1 -1 1 6 5 1944
1 0 0 1 0 51 117 66 1944
1 0 0 10 -2 0 3 3 1944
1 0 0 10 -1 1 3 2 1944
1 0 0 10 0 12 29 17 1944
1 0 0 11 -1 1 3 2 1944
1 0 0 11 0 12 26 14 1944
1 0 0 100 -1 1 3 2 1944
1 0 0 100 0 3 6 3 1944
1 0 0 101 -2 1 2 1 1944
1 0 0 101 -1 2 3 1 1944
1 0 0 101 0 2 6 4 1944
1 0 0 110 -1 0 1 1 1944
1 0 0 110 0 1 3 2 1944
1 0 0 111 -1 0 2 2 1944
1 0 0 111 0 1 1 0 1944
1 0 1 0 -4 0 1 1 1944
1 0 1 0 -3 0 2 2 1944
1 0 1 0 -2 0 3 3 1944
1 0 1 0 -1 3 6 3 1944
1 0 1 0 0 120 269 149 1944
1 0 1 1 -4 0 1 1 1944
1 0 1 1 -3 1 3 2 1944
1 0 1 1 -2 6 11 5 1944
1 0 1 1 -1 4 12 8 1944
1 0 1 1 0 45 111 66 1944
1 0 1 10 -7 0 1 1 1944
1 0 1 10 -4 0 2 2 1944
1 0 1 10 -3 0 1 1 1944
1 0 1 10 -2 2 8 6 1944
1 0 1 10 -1 4 6 2 1944
1 0 1 10 0 14 43 29 1944
1 0 1 11 -5 0 1 1 1944
1 0 1 11 -4 0 1 1 1944
1 0 1 11 -3 1 3 2 1944
1 0 1 11 -2 0 1 1 1944
1 0 1 11 -1 2 7 5 1944
1 0 1 11 0 14 35 21 1944
1 0 1 100 -4 0 1 1 1944
1 0 1 100 -2 0 4 4 1944
1 0 1 100 -1 4 10 6 1944
1 0 1 100 0 6 15 9 1944
1 0 1 101 -4 0 1 1 1944
1 0 1 101 -3 0 2 2 1944
1 0 1 101 -2 3 7 4 1944
1 0 1 101 -1 5 9 4 1944
1 0 1 101 0 5 14 9 1944
1 0 1 110 -4 0 1 1 1944
1 0 1 110 -2 1 2 1 1944
1 0 1 110 -1 2 4 2 1944
1 0 1 110 0 5 14 9 1944
1 0 1 111 -4 0 1 1 1944
1 0 1 111 -2 0 1 1 1944
1 0 1 111 -1 2 9 7 1944
1 0 1 111 0 1 8 7 1944
1 0 2 0 -4 1 4 3 1944
1 0 2 0 -3 1 5 4 1944
1 0 2 0 -2 1 8 7 1944
1 0 2 0 -1 7 11 4 1944
1 0 2 0 0 100 200 100 1944
1 0 2 1 -8 0 1 1 1944
1 0 2 1 -5 0 1 1 1944
1 0 2 1 -4 1 4 3 1944
1 0 2 1 -3 1 3 2 1944
1 0 2 1 -2 6 11 5 1944
1 0 2 1 -1 7 23 16 1944
1 0 2 1 0 34 89 55 1944
1 0 2 10 -7 0 1 1 1944
1 0 2 10 -5 0 1 1 1944
1 0 2 10 -3 1 3 2 1944
1 0 2 10 -2 4 8 4 1944
1 0 2 10 -1 7 14 7 1944
1 0 2 10 0 16 42 26 1944
1 0 2 11 -5 0 1 1 1944
1 0 2 11 -4 1 4 3 1944
1 0 2 11 -3 1 6 5 1944
1 0 2 11 -2 1 6 5 1944
1 0 2 11 -1 4 11 7 1944
1 0 2 11 0 11 28 17 1944
1 0 2 100 -9 0 1 1 1944
1 0 2 100 -5 0 1 1 1944
1 0 2 100 -4 0 1 1 1944
1 0 2 100 -3 1 1 0 1944
1 0 2 100 -2 0 4 4 1944
1 0 2 100 -1 2 5 3 1944
1 0 2 100 0 9 16 7 1944
1 0 2 101 -3 0 2 2 1944
1 0 2 101 -2 0 5 5 1944
1 0 2 101 -1 1 8 7 1944
1 0 2 101 0 9 21 12 1944
1 0 2 110 -5 0 1 1 1944
1 0 2 110 -4 1 1 0 1944
1 0 2 110 -3 0 2 2 1944
1 0 2 110 -2 1 2 1 1944
1 0 2 110 -1 1 3 2 1944
1 0 2 110 0 5 9 4 1944
1 0 2 111 -3 1 2 1 1944
1 0 2 111 -2 2 4 2 1944
1 0 2 111 -1 5 9 4 1944
1 0 2 111 0 4 10 6 1944
1 1 0 0 -9 0 1 1 1944
1 1 0 0 -7 0 1 1 1944
1 1 0 0 -5 0 5 5 1944
1 1 0 0 -4 3 8 5 1944
1 1 0 0 -3 4 14 10 1944
1 1 0 0 -2 12 34 22 1944
1 1 0 0 -1 25 66 41 1944
1 1 0 0 0 139 282 143 1944
1 1 0 0 1 1 1 0 1944
1 1 0 0 2 0 2 2 1944
1 1 0 0 3 2 2 0 1944
1 1 0 1 -9 0 1 1 1944
1 1 0 1 -5 0 1 1 1944
1 1 0 1 -4 1 2 1 1944
1 1 0 1 -3 2 5 3 1944
1 1 0 1 -2 5 8 3 1944
1 1 0 1 -1 6 19 13 1944
1 1 0 1 0 38 69 31 1944
1 1 0 1 1 1 1 0 1944
1 1 0 1 2 0 1 1 1944
1 1 0 1 3 1 1 0 1944
1 1 0 10 -5 0 1 1 1944
1 1 0 10 -1 3 5 2 1944
1 1 0 10 0 11 15 4 1944
1 1 0 11 -5 0 1 1 1944
1 1 0 11 -3 1 1 0 1944
1 1 0 11 -2 1 1 0 1944
1 1 0 11 -1 2 3 1 1944
1 1 0 11 0 10 21 11 1944
1 1 0 11 1 2 2 0 1944
1 1 0 11 4 1 1 0 1944
1 1 0 100 0 3 5 2 1944
1 1 0 100 1 2 2 0 1944
1 1 0 101 -2 0 1 1 1944
1 1 0 101 -1 0 1 1 1944
1 1 0 101 0 4 6 2 1944
1 1 0 101 2 1 1 0 1944
1 1 0 101 3 1 1 0 1944
1 1 0 110 0 6 7 1 1944
1 1 0 110 1 2 2 0 1944
1 1 0 111 0 2 2 0 1944
1 1 0 111 1 1 1 0 1944
1 1 0 111 2 1 1 0 1944
1 1 0 111 4 1 1 0 1944
1 1 1 0 -7 0 1 1 1944
1 1 1 0 -5 0 4 4 1944
1 1 1 0 -4 2 6 4 1944
1 1 1 0 -3 2 9 7 1944
1 1 1 0 -2 7 26 19 1944
1 1 1 0 -1 16 46 30 1944
