INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS
1 0 0 0 5 0 3 3
1 0 0 0 4 1 17 16
1 0 0 0 3 3 18 15
1 0 0 0 2 11 56 45
1 0 0 0 1 50 158 108
1 0 0 0 0 3474 7915 4441
1 0 0 1 6 0 1 1
1 0 0 1 5 0 1 1
1 0 0 1 4 1 6 5
1 0 0 1 3 0 5 5
1 0 0 1 2 2 32 30
1 0 0 1 1 28 83 55
1 0 0 1 0 715 1862 1147
1 0 0 10 4 0 5 5
1 0 0 10 3 0 8 8
1 0 0 10 2 1 21 20
1 0 0 10 1 24 64 40
1 0 0 10 0 229 618 389
1 0 0 11 4 1 3 2
1 0 0 11 3 0 3 3
1 0 0 11 2 4 25 21
1 0 0 11 1 7 56 49
1 0 0 11 0 122 365 243
1 0 0 100 6 1 1 0
1 0 0 100 4 0 1 1
1 0 0 100 3 0 4 4
1 0 0 100 2 0 8 8
1 0 0 100 1 6 19 13
1 0 0 100 0 41 103 62
1 0 0 101 6 1 3 2
1 0 0 101 3 0 3 3
1 0 0 101 2 1 6 5
1 0 0 101 1 13 45 32
1 0 0 101 0 55 155 100
1 0 0 110 6 0 1 1
1 0 0 110 5 0 1 1
1 0 0 110 4 0 1 1
1 0 0 110 3 0 6 6
1 0 0 110 2 1 9 8
1 0 0 110 1 3 22 19
1 0 0 110 0 18 73 55
1 0 0 111 5 0 1 1
1 0 0 111 4 0 3 3
1 0 0 111 3 0 5 5
1 0 0 111 2 1 12 11
1 0 0 111 1 5 24 19
1 0 0 111 0 26 76 50
1 0 1 0 6 0 2 2
1 0 1 0 5 0 11 11
1 0 1 0 4 2 33 31
1 0 1 0 3 10 68 58
1 0 1 0 2 34 145 111
1 0 1 0 1 76 261 185
1 0 1 0 0 2574 5534 2960
1 0 1 1 6 0 1 1
1 0 1 1 5 0 7 7
1 0 1 1 4 1 15 14
1 0 1 1 3 1 37 36
1 0 1 1 2 24 87 63
1 0 1 1 1 76 226 150
1 0 1 1 0 852 2062 1210
1 0 1 10 8 0 2 2
1 0 1 10 7 0 1 1
1 0 1 10 6 0 2 2
1 0 1 10 5 0 3 3
1 0 1 10 4 1 12 11
1 0 1 10 3 3 32 29
1 0 1 10 2 17 67 50
1 0 1 10 1 48 157 109
1 0 1 10 0 326 805 479
1 0 1 11 6 1 2 1
1 0 1 11 5 0 4 4
1 0 1 11 4 0 8 8
1 0 1 11 3 0 17 17
1 0 1 11 2 10 64 54
1 0 1 11 1 34 158 124
1 0 1 11 0 233 582 349
1 0 1 100 8 0 1 1
1 0 1 100 5 0 1 1
1 0 1 100 4 1 8 7
1 0 1 100 3 1 6 5
1 0 1 100 2 3 19 16
1 0 1 100 1 14 58 44
1 0 1 100 0 132 323 191
1 0 1 101 8 0 1 1
1 0 1 101 6 0 3 3
1 0 1 101 5 0 1 1
1 0 1 101 4 0 6 6
1 0 1 101 3 0 11 11
1 0 1 101 2 10 44 34
1 0 1 101 1 25 89 64
1 0 1 101 0 97 289 192
1 0 1 110 6 0 1 1
1 0 1 110 4 0 3 3
1 0 1 110 3 0 8 8
1 0 1 110 2 7 23 16
1 0 1 110 1 12 73 61
1 0 1 110 0 58 154 96
1 0 1 111 4 1 2 1
1 0 1 111 3 1 7 6
1 0 1 111 2 6 37 31
1 0 1 111 1 12 67 55
1 0 1 111 0 44 149 105
1 0 2 0 6 0 3 3
1 0 2 0 5 2 19 17
1 0 2 0 4 2 48 46
1 0 2 0 3 21 98 77
1 0 2 0 2 61 217 156
1 0 2 0 1 161 445 284
1 0 2 0 0 1972 4002 2030
1 0 2 1 7 0 2 2
1 0 2 1 6 0 5 5
1 0 2 1 5 1 12 11
1 0 2 1 4 2 33 31
1 0 2 1 3 13 78 65
1 0 2 1 2 41 153 112
1 0 2 1 1 145 399 254
1 0 2 1 0 843 1811 968
1 0 2 10 7 0 3 3
1 0 2 10 6 0 2 2
1 0 2 10 5 0 10 10
1 0 2 10 4 2 21 19
1 0 2 10 3 12 55 43
1 0 2 10 2 32 125 93
1 0 2 10 1 91 249 158
1 0 2 10 0 379 828 449
1 0 2 11 8 0 1 1
