INN_CT,BAT_HOME_ID,OUTS_CT,RUNNERS,HOME_AWAY,HOME_LOSES,GAMES,HOME_WINS,HOME_WIN_PROB,AWAY_WIN_PROB
1,0,0,0,-8,1,1,0,0,100
1,0,0,0,-7,1,1,0,0,100
1,0,0,0,-6,10,10,0,0,100
1,0,0,0,-5,26,30,4,13.3,86.7
1,0,0,0,-4,137,164,27,16.5,83.5
1,0,0,0,-3,272,363,91,25.1,74.9
1,0,0,0,-2,394,563,169,30,70
1,0,0,0,-1,1097,1939,842,43.4,56.6
1,0,0,0,0,60698,129846,69148,53.3,46.7
1,0,0,0,2,1,1,0,0,100
1,0,0,1,-7,2,2,0,0,100
1,0,0,1,-6,3,4,1,25,75
1,0,0,1,-5,15,16,1,6.2,93.8
1,0,0,1,-4,55,66,11,16.7,83.3
1,0,0,1,-3,111,150,39,26,74
1,0,0,1,-2,276,387,111,28.7,71.3
1,0,0,1,-1,815,1378,563,40.9,59.1
1,0,0,1,0,17422,34087,16665,48.9,51.1
1,0,0,1,2,1,1,0,0,100
1,0,0,2,-7,1,1,0,0,100
1,0,0,2,-6,9,9,0,0,100
1,0,0,2,-5,13,13,0,0,100
1,0,0,2,-4,37,39,2,5.1,94.9
1,0,0,2,-3,97,125,28,22.4,77.6
1,0,0,2,-2,260,359,99,27.6,72.4
1,0,0,2,-1,700,1124,424,37.7,62.3
1,0,0,2,0,5496,10244,4748,46.3,53.7
1,0,0,12,-6,6,6,0,0,100
1,0,0,12,-5,9,9,0,0,100
1,0,0,12,-4,34,38,4,10.5,89.5
1,0,0,12,-3,82,107,25,23.4,76.6
1,0,0,12,-2,277,360,83,23.1,76.9
1,0,0,12,-1,677,1019,342,33.6,66.4
1,0,0,12,0,3686,6439,2753,42.8,57.2
1,0,0,3,-7,1,1,0,0,100
1,0,0,3,-6,2,3,1,33.3,66.7
1,0,0,3,-5,5,6,1,16.7,83.3
1,0,0,3,-4,13,15,2,13.3,86.7
1,0,0,3,-3,27,35,8,22.9,77.1
1,0,0,3,-2,86,120,34,28.3,71.7
1,0,0,3,-1,268,411,143,34.8,65.2
1,0,0,3,0,1078,1939,861,44.4,55.6
1,0,0,13,-7,1,1,0,0,100
1,0,0,13,-6,3,4,1,25,75
1,0,0,13,-5,9,9,0,0,100
1,0,0,13,-4,20,20,0,0,100
1,0,0,13,-3,53,65,12,18.5,81.5
1,0,0,13,-2,174,225,51,22.7,77.3
1,0,0,13,-1,520,784,264,33.7,66.3
1,0,0,13,0,1805,3111,1306,42,58
1,0,0,23,-6,1,1,0,0,100
1,0,0,23,-5,4,4,0,0,100
1,0,0,23,-4,11,14,3,21.4,78.6
1,0,0,23,-3,50,61,11,18,82
1,0,0,23,-2,113,143,30,21,79
1,0,0,23,-1,324,446,122,27.4,72.6
1,0,0,23,0,826,1359,533,39.2,60.8
1,0,0,123,-7,1,1,0,0,100
1,0,0,123,-6,2,2,0,0,100
1,0,0,123,-5,8,8,0,0,100
1,0,0,123,-4,19,19,0,0,100
1,0,0,123,-3,47,49,2,4.1,95.9
1,0,0,123,-2,142,168,26,15.5,84.5
1,0,0,123,-1,320,442,122,27.6,72.4
1,0,0,123,0,833,1308,475,36.3,63.7
1,0,1,0,-10,2,2,0,0,100
1,0,1,0,-9,4,5,1,20,80
1,0,1,0,-8,2,2,0,0,100
1,0,1,0,-7,7,7,0,0,100
1,0,1,0,-6,43,46,3,6.5,93.5
1,0,1,0,-5,139,158,19,12,88
1,0,1,0,-4,371,456,85,18.6,81.4
1,0,1,0,-3,814,1123,309,27.5,72.5
1,0,1,0,-2,1267,1948,681,35,65
1,0,1,0,-1,1857,3379,1522,45,55
1,0,1,0,0,39572,89354,49782,55.7,44.3
1,0,1,1,-9,2,2,0,0,100
1,0,1,1,-8,1,1,0,0,100
1,0,1,1,-7,7,7,0,0,100
1,0,1,1,-6,28,31,3,9.7,90.3
1,0,1,1,-5,86,96,10,10.4,89.6
1,0,1,1,-4,223,258,35,13.6,86.4
1,0,1,1,-3,447,596,149,25,75
1,0,1,1,-2,914,1427,513,35.9,64.1
1,0,1,1,-1,2179,3838,1659,43.2,56.8
1,0,1,1,0,15893,33544,17651,52.6,47.4
1,0,1,1,2,1,1,0,0,100
1,0,1,2,-9,1,1,0,0,100
1,0,1,2,-8,5,5,0,0,100
1,0,1,2,-7,4,4,0,0,100
1,0,1,2,-6,19,19,0,0,100
1,0,1,2,-5,48,54,6,11.1,88.9
1,0,1,2,-4,127,146,19,13,87
1,0,1,2,-3,343,435,92,21.1,78.9
1,0,1,2,-2,715,1050,335,31.9,68.1
1,0,1,2,-1,1685,2942,1257,42.7,57.3
1,0,1,2,0,7153,14530,7377,50.8,49.2
1,0,1,12,-8,1,1,0,0,100
1,0,1,12,-7,1,1,0,0,100
1,0,1,12,-6,16,21,5,23.8,76.2
1,0,1,12,-5,55,59,4,6.8,93.2
1,0,1,12,-4,152,179,27,15.1,84.9
1,0,1,12,-3,322,407,85,20.9,79.1
1,0,1,12,-2,726,1084,358,33,67
1,0,1,12,-1,1585,2653,1068,40.3,59.7
1,0,1,12,0,4996,9734,4738,48.7,51.3
1,0,1,3,-8,4,4,0,0,100
1,0,1,3,-7,4,4,0,0,100
1,0,1,3,-6,9,9,0,0,100
1,0,1,3,-5,27,29,2,6.9,93.1
1,0,1,3,-4,64,76,12,15.8,84.2
1,0,1,3,-3,134,176,42,23.9,76.1
1,0,1,3,-2,333,473,140,29.6,70.4
1,0,1,3,-1,806,1330,524,39.4,60.6
1,0,1,3,0,2860,5443,2583,47.5,52.5
1,0,1,13,-9,1,1,0,0,100
1,0,1,13,-8,1,1,0,0,100
1,0,1,13,-7,4,4,0,0,100
1,0,1,13,-6,16,17,1,5.9,94.1
1,0,1,13,-5,34,37,3,8.1,91.9
1,0,1,13,-4,99,112,13,11.6,88.4
1,0,1,13,-3,215,270,55,20.4,79.6
1,0,1,13,-2,497,666,169,25.4,74.6
1,0,1,13,-1,1115,1771,656,37,63
1,0,1,13,0,2573,4741,2168,45.7,54.3
1,0,1,13,2,1,1,0,0,100
1,0,1,23,-9,1,1,0,0,100
1,0,1,23,-8,2,2,0,0,100
1,0,1,23,-7,7,7,0,0,100
1,0,1,23,-6,14,15,1,6.7,93.3
1,0,1,23,-5,23,28,5,17.9,82.1
1,0,1,23,-4,60,73,13,17.8,82.2
1,0,1,23,-3,155,192,37,19.3,80.7
1,0,1,23,-2,328,451,123,27.3,72.7
1,0,1,23,-1,698,1076,378,35.1,64.9
1,0,1,23,0,1523,2763,1240,44.9,55.1
1,0,1,123,-8,1,1,0,0,100
1,0,1,123,-7,5,5,0,0,100
1,0,1,123,-6,10,10,0,0,100
1,0,1,123,-5,20,20,0,0,100
1,0,1,123,-4,67,78,11,14.1,85.9
1,0,1,123,-3,171,206,35,17,83
1,0,1,123,-2,415,575,160,27.8,72.2
1,0,1,123,-1,806,1227,421,34.3,65.7
1,0,1,123,0,1514,2587,1073,41.5,58.5
1,0,2,0,-11,3,3,0,0,100
1,0,2,0,-10,5,5,0,0,100
1,0,2,0,-9,7,8,1,12.5,87.5
1,0,2,0,-8,5,5,0,0,100
1,0,2,0,-7,19,19,0,0,100
1,0,2,0,-6,72,78,6,7.7,92.3
1,0,2,0,-5,235,276,41,14.9,85.1
1,0,2,0,-4,610,759,149,19.6,80.4
1,0,2,0,-3,1208,1735,527,30.4,69.6
1,0,2,0,-2,2205,3462,1257,36.3,63.7
1,0,2,0,-1,3361,6296,2935,46.6,53.4
1,0,2,0,0,28041,65811,37770,57.4,42.6
1,0,2,1,-11,2,2,0,0,100
1,0,2,1,-10,5,5,0,0,100
1,0,2,1,-9,10,11,1,9.1,90.9
1,0,2,1,-8,9,9,0,0,100
