pitch_type,sv_id,type,count,pitcher_name
NA,NA,B,0-0,Clayton Kershaw
NA,NA,X,1-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
FF,130226_130436,B,0-0,Yu Darvish
FF,130226_130453,B,1-0,Yu Darvish
FF,130226_130509,S,2-0,Yu Darvish
FF,130226_130530,S,2-1,Yu Darvish
SL,130226_130604,X,2-2,Yu Darvish
FF,130226_130648,S,0-0,Yu Darvish
FT,130226_130722,B,0-1,Yu Darvish
FF,130226_130742,S,1-1,Yu Darvish
SL,130226_130821,S,1-2,Yu Darvish
FF,130226_130859,S,0-0,Yu Darvish
FF,130226_130916,S,0-1,Yu Darvish
FF,130226_130945,B,0-2,Yu Darvish
FF,130226_131011,S,1-2,Yu Darvish
SL,130226_131053,S,1-2,Yu Darvish
SL,130226_131124,B,1-2,Yu Darvish
FF,130226_131148,X,2-2,Yu Darvish
FF,130226_132118,S,0-0,Yu Darvish
FS,130226_132139,B,0-1,Yu Darvish
FF,130226_132155,B,1-1,Yu Darvish
FF,130226_132221,S,2-1,Yu Darvish
FF,130226_132245,B,2-2,Yu Darvish
SL,130226_132310,S,3-2,Yu Darvish
FT,130226_132347,B,0-0,Yu Darvish
FF,130226_132406,X,1-0,Yu Darvish
CU,130226_132458,B,0-0,Yu Darvish
FF,130226_132515,B,1-0,Yu Darvish
FF,130226_132537,B,2-0,Yu Darvish
FF,130226_132556,X,3-0,Yu Darvish
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,B,0-0,Hiroki Kuroda
NA,NA,B,1-0,Hiroki Kuroda
NA,NA,B,2-0,Hiroki Kuroda
NA,NA,B,3-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
