BAT_ID,AVG_SEASON,ATBAT,HITS,AVG,FULLNAME
alvap001,0.232974910394265,52,6,0.115384615384615,Pedro Alvarez
andre001,0.270967741935484,59,13,0.220338983050847,Elvis Andrus
aokin001,0.28643216080402,61,18,0.295081967213115,Norichika Aoki
aybae001,0.270909090909091,28,9,0.321428571428571,Erick Aybar
barnd001,0.207584830339321,11,1,0.0909090909090909,Darwin Barney
belta001,0.315372424722662,55,14,0.254545454545455,Adrian Beltre
beltc001,0.296028880866426,51,13,0.254901960784314,Carlos Beltran
bourm001,0.262857142857143,45,15,0.333333333333333,Michael Bourn
branm003,0.284172661870504,50,12,0.24,Michael Brantley
brucj001,0.261980830670927,71,21,0.295774647887324,Jay Bruce
butlb003,0.288659793814433,40,9,0.225,Billy Butler
byrdm001,0.291353383458647,49,13,0.26530612244898,Marlon Byrd
cabra002,0.242125984251968,58,8,0.137931034482759,Asdrubal Cabrera
cabrm001,0.348375451263538,69,24,0.347826086956522,Miguel Cabrera
canor001,0.31404958677686,62,20,0.32258064516129,Robinson Cano
cartc002,0.223320158102767,56,14,0.25,Chris Carter
casts001,0.244744744744745,65,20,0.307692307692308,Starlin Castro
choos001,0.284710017574692,62,21,0.338709677419355,Shin-Soo Choo
craia001,0.31496062992126,55,12,0.218181818181818,Allen Craig
crisc001,0.261208576998051,58,20,0.344827586206897,Coco Crisp
davic003,0.285958904109589,51,18,0.352941176470588,Chris Davis
deaza001,0.263591433278418,61,14,0.229508196721311,Alejandro De Aza
desmi001,0.28,61,19,0.311475409836066,Ian Desmond
donaj001,0.300518134715026,66,17,0.257575757575758,Josh Donaldson
dozib001,0.243727598566308,37,7,0.189189189189189,Brian Dozier
dunna001,0.219047619047619,57,6,0.105263157894737,Adam Dunn
ellsj001,0.298093587521664,70,20,0.285714285714286,Jacoby Ellsbury
encae001,0.271698113207547,63,14,0.222222222222222,Edwin Encarnacion
escoa003,0.233937397034596,57,14,0.245614035087719,Alcides Escobar
escoy001,0.255905511811024,56,7,0.125,Yunel Escobar
fielp001,0.278846153846154,61,20,0.327868852459016,Prince Fielder
freef001,0.319419237749546,17,7,0.411764705882353,Freddie Freeman
gardb001,0.272727272727273,64,16,0.25,Brett Gardner
gomec002,0.283582089552239,55,17,0.309090909090909,Carlos Gomez
gonza003,0.293310463121784,54,22,0.407407407407407,Adrian Gonzalez
gorda001,0.265402843601896,60,21,0.35,Alex Gordon
hamij003,0.25,60,12,0.2,Josh Hamilton
hardj003,0.262895174708819,57,11,0.192982456140351,J.J. Hardy
headc001,0.25,7,2,0.285714285714286,Chase Headley
hecha001,0.226519337016575,49,9,0.183673469387755,Adeiny Hechavarria
hollm001,0.3,54,13,0.240740740740741,Matt Holliday
huntt001,0.303630363036304,67,28,0.417910447761194,Torii Hunter
jacka001,0.271739130434783,75,25,0.333333333333333,Austin Jackson
jay-j001,0.275547445255474,67,15,0.223880597014925,Jon Jay
jennd002,0.252371916508539,62,15,0.241935483870968,Desmond Jennings
johnc003,0.321011673151751,51,21,0.411764705882353,Chris Johnson
jonea003,0.284839203675345,64,24,0.375,Adam Jones
kinsi001,0.277064220183486,57,18,0.315789473684211,Ian Kinsler
laroa001,0.23679060665362,44,8,0.181818181818182,Adam LaRoche
lonej001,0.298724954462659,39,12,0.307692307692308,James Loney
longe001,0.268729641693811,57,16,0.280701754385965,Evan Longoria
lowrj001,0.290215588723051,63,26,0.412698412698413,Jed Lowrie
lucrj001,0.280230326295585,50,13,0.26,Jonathan Lucroy
machm001,0.28335832083958,63,16,0.253968253968254,Manny Machado
markn001,0.271293375394322,63,20,0.317460317460317,Nick Markakis
marts002,0.280392156862745,63,21,0.333333333333333,Starling Marte
martv001,0.300826446280992,56,12,0.214285714285714,Victor Martinez
mccua001,0.317324185248714,58,15,0.258620689655172,Andrew McCutchen
mclon001,0.258003766478343,45,11,0.244444444444444,Nate McLouth
moliy001,0.318811881188119,60,18,0.3,Yadier Molina
morak001,0.277408637873754,61,16,0.262295081967213,Kendry Morales
mornj001,0.258741258741259,52,15,0.288461538461538,Justin Morneau
murpd006,0.285714285714286,57,20,0.350877192982456,Daniel Murphy
parrg001,0.267886855241265,72,21,0.291666666666667,Gerardo Parra
pedrd001,0.301092043681747,58,18,0.310344827586207,Dustin Pedroia
pench001,0.282988871224165,68,18,0.264705882352941,Hunter Pence
philb001,0.260726072607261,67,21,0.313432835820896,Brandon Phillips
piera001,0.272365805168986,45,13,0.288888888888889,A.J. Pierzynski
poseb001,0.294230769230769,49,11,0.224489795918367,Buster Posey
