BAT_ID,SEASON_AVG,ATBAT,HITS,MLE,FULLNAME,MCMC
alvap001,0.232974910394265,52,6,0.115384615384615,Pedro Alvarez,0.245423668226128
andre001,0.270967741935484,59,13,0.220338983050847,Elvis Andrus,0.26522411135661
aokin001,0.28643216080402,61,18,0.295081967213115,Norichika Aoki,0.282294991584377
aybae001,0.270909090909091,28,9,0.321428571428571,Erick Aybar,0.282481250787348
barnd001,0.207584830339321,11,1,0.0909090909090909,Darwin Barney,0.268212148797775
belta001,0.315372424722662,55,14,0.254545454545455,Adrian Beltre,0.272635866710027
beltc001,0.296028880866426,51,13,0.254901960784314,Carlos Beltran,0.273361621004734
bourm001,0.262857142857143,45,15,0.333333333333333,Michael Bourn,0.287835503295773
branm003,0.284172661870504,50,12,0.24,Michael Brantley,0.270373732990311
brucj001,0.261980830670927,71,21,0.295774647887324,Jay Bruce,0.282417760870005
butlb003,0.288659793814433,40,9,0.225,Billy Butler,0.268874651191869
byrdm001,0.291353383458647,49,13,0.26530612244898,Marlon Byrd,0.275718594246025
cabra002,0.242125984251968,58,8,0.137931034482759,Asdrubal Cabrera,0.248376489307167
cabrm001,0.348375451263538,69,24,0.347826086956522,Miguel Cabrera,0.295029928261796
canor001,0.31404958677686,62,20,0.32258064516129,Robinson Cano,0.287554740559853
cartc002,0.223320158102767,56,14,0.25,Chris Carter,0.272026160359527
casts001,0.244744744744745,65,20,0.307692307692308,Starlin Castro,0.284588681229013
choos001,0.284710017574692,62,21,0.338709677419355,Shin-Soo Choo,0.292370331244287
craia001,0.31496062992126,55,12,0.218181818181818,Allen Craig,0.265410754415985
crisc001,0.261208576998051,58,20,0.344827586206897,Coco Crisp,0.292742954156662
davic003,0.285958904109589,51,18,0.352941176470588,Chris Davis,0.293187182444931
deaza001,0.263591433278418,61,14,0.229508196721311,Alejandro De Aza,0.267504860838698
desmi001,0.28,61,19,0.311475409836066,Ian Desmond,0.285884229727575
donaj001,0.300518134715026,66,17,0.257575757575758,Josh Donaldson,0.273587935581042
dozib001,0.243727598566308,37,7,0.189189189189189,Brian Dozier,0.264535959022355
dunna001,0.219047619047619,57,6,0.105263157894737,Adam Dunn,0.241779805138815
ellsj001,0.298093587521664,70,20,0.285714285714286,Jacoby Ellsbury,0.280070081562972
encae001,0.271698113207547,63,14,0.222222222222222,Edwin Encarnacion,0.264591657615648
escoa003,0.233937397034596,57,14,0.245614035087719,Alcides Escobar,0.269966032557908
escoy001,0.255905511811024,56,7,0.125,Yunel Escobar,0.245698678943226
fielp001,0.278846153846154,61,20,0.327868852459016,Prince Fielder,0.288816745568352
freef001,0.319419237749546,17,7,0.411764705882353,Freddie Freeman,0.288129429060524
gardb001,0.272727272727273,64,16,0.25,Brett Gardner,0.271107474791204
gomec002,0.283582089552239,55,17,0.309090909090909,Carlos Gomez,0.285435815145557
gonza003,0.293310463121784,54,22,0.407407407407407,Adrian Gonzalez,0.305111655113586
gorda001,0.265402843601896,60,21,0.35,Alex Gordon,0.294135235524986
hamij003,0.25,60,12,0.2,Josh Hamilton,0.260575669450972
hardj003,0.262895174708819,57,11,0.192982456140351,J.J. Hardy,0.260125728644364
headc001,0.25,7,2,0.285714285714286,Chase Headley,0.278281553834539
hecha001,0.226519337016575,49,9,0.183673469387755,Adeiny Hechavarria,0.259890300989388
hollm001,0.3,54,13,0.240740740740741,Matt Holliday,0.269919844567686
huntt001,0.303630363036304,67,28,0.417910447761194,Torii Hunter,0.312920261618555
jacka001,0.271739130434783,75,25,0.333333333333333,Austin Jackson,0.292728979763061
