TEAM YEAR NUMBER NAME SALARY
baystars 2006 18 三浦大輔 22000万円
baystars 2006 42 クルーン 19000万円
baystars 2006 3 種田仁 12500万円
baystars 2006 5 石井琢朗 17500万円
baystars 2006 10 佐伯貴弘 14000万円
baystars 2006 1 金城龍彦 13500万円
baystars 2006 7 鈴木尚典 22000万円
baystars 2006 11 山口俊 870万円
baystars 2006 12 吉川輝昭 1350万円
baystars 2006 13 那須野巧 1300万円
baystars 2006 15 高宮和也 1500万円
baystars 2006 16 川村丈夫 7700万円
baystars 2006 17 加藤武治 5500万円
baystars 2006 19 染田賢作 1275万円
baystars 2006 20 木塚敦志 7500万円
baystars 2006 21 吉見祐治 2700万円
baystars 2006 24 門倉健 7500万円
baystars 2006 27 龍太郎 1250万円
baystars 2006 28 秦裕二 900万円
baystars 2006 30 土肥義弘 6600万円
baystars 2006 32 松家卓弘 780万円
baystars 2006 34 三橋直樹 1300万円
baystars 2006 35 牛田成樹 1200万円
baystars 2006 36 村西哲幸 630万円
baystars 2006 37 岡本直也 560万円
baystars 2006 38 稲嶺茂夫 640万円
baystars 2006 41 岸本秀樹 900万円
baystars 2006 43 べバリン 3400万円
baystars 2006 46 佐久本昌広 1000万円
baystars 2006 47 堤内健 680万円
baystars 2006 48 後藤伸也 680万円
baystars 2006 50 森大輔 850万円
baystars 2006 54 橋本太郎 460万円
baystars 2006 60 飯田龍一郎 500万円
baystars 2006 8 相川亮二 6000万円
baystars 2006 29 新沼慎二 700万円
baystars 2006 49 齋藤俊雄 600万円
baystars 2006 57 鶴岡一成 1500万円
baystars 2006 59 黒羽根利規 460万円
baystars 2006 61 武山真吾 490万円
baystars 2006 0 万永貴司 2300万円
baystars 2006 2 内川聖一 2500万円
baystars 2006 4 北川利之 1000万円
baystars 2006 23 藤田一也 1400万円
baystars 2006 25 村田修一 4150万円
baystars 2006 26 小田嶋正邦 1200万円
baystars 2006 45 福本誠 1050万円
baystars 2006 52 石川雄洋 470万円
baystars 2006 53 野中信吾 800万円
baystars 2006 55 呉本成徳 800万円
baystars 2006 66 木村昇吾 660万円
baystars 2006 0 河野友軌 850万円
baystars 2006 6 多村仁 ー万円
baystars 2006 9 田中一徳 1512万円
baystars 2006 31 吉村裕基 620万円
baystars 2006 33 古木克明 2300万円
baystars 2006 39 内藤雄太 1400万円
baystars 2006 40 桑原義行 800万円
baystars 2006 44 小池正晃 2800万円
baystars 2006 51 田中充 590万円
baystars 2006 64 南竜介 800万円
baystars 2006 65 西﨑伸洋 510万円
baystars 2007 18 三浦大輔 15000万円
baystars 2007 42 クルーン 20000万円
baystars 2007 5 石井琢朗 17500万円
baystars 2007 1 金城龍彦 12200万円
baystars 2007 11 山口俊 950万円
baystars 2007 12 吉川輝昭 1200万円
baystars 2007 13 那須野巧 2000万円
baystars 2007 15 高宮和也 1500万円
baystars 2007 16 川村丈夫 7300万円
baystars 2007 17 加藤武治 8500万円
baystars 2007 19 染田賢作 1020万円
baystars 2007 20 木塚敦志 7000万円
baystars 2007 21 吉見祐治 2700万円
baystars 2007 22 高崎健太郎 1500万円
baystars 2007 24 寺原隼人 2500万円
baystars 2007 27 山北茂利 2400万円
baystars 2007 28 秦裕二 1500万円
baystars 2007 30 土肥義弘 5400万円
baystars 2007 32 松家卓弘 750万円
baystars 2007 34 三橋直樹 1400万円
baystars 2007 35 牛田成樹 1800万円
baystars 2007 36 堤内健 680万円
baystars 2007 37 岡本直也 600万円
baystars 2007 38 稲嶺茂夫 680万円
